Level	Rule Name	Subject	Property	Value
WARN	annotation_whitespace	obo:BFO_0000147	obo:IAO_0000602		
WARN	annotation_whitespace	obo:IAO_0000615	obo:IAO_0000115		
WARN	annotation_whitespace	obo:BFO_0000027	obo:IAO_0000602		
WARN	annotation_whitespace	obo:BFO_0000027	obo:IAO_0000116		
WARN	annotation_whitespace	obo:BFO_0000148	obo:IAO_0000602		
WARN	annotation_whitespace	obo:BFO_0000028	obo:IAO_0000602		
WARN	annotation_whitespace	obo:BFO_0000029	obo:IAO_0000602		
WARN	annotation_whitespace	obo:RO_0002341	obo:IAO_0000115		
WARN	annotation_whitespace	obo:IAO_0000065	obo:IAO_0000115		
WARN	annotation_whitespace	obo:IAO_0000580	obo:IAO_0000112		
WARN	annotation_whitespace	obo:RO_0002215	obo:IAO_0000115		
WARN	annotation_whitespace	obo:RO_0002535	obo:IAO_0000232		
WARN	annotation_whitespace	obo:IAO_0020011	obo:IAO_0000115		
WARN	annotation_whitespace	obo:BFO_0000144	obo:IAO_0000602		
WARN	annotation_whitespace	obo:BFO_0000023	obo:IAO_0000602		
WARN	annotation_whitespace	obo:OMRSE_00000033	rdfs:comment		
WARN	annotation_whitespace	obo:BFO_0000024	obo:IAO_0000602		
WARN	annotation_whitespace	obo:BFO_0000145	obo:IAO_0000602		
WARN	annotation_whitespace	obo:BFO_0000146	obo:IAO_0000602		
WARN	annotation_whitespace	obo:BFO_0000140	obo:IAO_0000602		
WARN	annotation_whitespace	obo:BFO_0000020	obo:IAO_0000602		
WARN	annotation_whitespace	obo:BFO_0000142	obo:IAO_0000602		
WARN	duplicate_exact_synonym	obo:IAO_0000609	obo:IAO_0000118		
WARN	duplicate_exact_synonym	obo:RO_0002516	obo:IAO_0000118		
WARN	duplicate_exact_synonym	obo:RO_0002224	obo:IAO_0000118		
WARN	duplicate_exact_synonym	obo:IAO_0000615	obo:IAO_0000118		
WARN	duplicate_exact_synonym	obo:RO_0002599	obo:IAO_0000118		
WARN	duplicate_exact_synonym	obo:RO_0002606	obo:IAO_0000118		
WARN	duplicate_label_synonym	obo:ICO_0000131	obo:IAO_0000118		
WARN	duplicate_label_synonym	obo:RO_0000053	obo:IAO_0000118		
WARN	missing_obsolete_label	obo:IAO_0000230	rdfs:label		
INFO	lowercase_definition	obo:RO_0009002	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0009001	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0002291	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0002170	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0002176	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0002177	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_HOM0000026	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0002293	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0009005	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0002295	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0002296	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0009003	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0002603	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0002604	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0002605	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0002606	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0020004	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0020005	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0002607	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0010002	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0002160	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0002161	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0002162	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0002285	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0002158	obo:IAO_0000115		
